2023-08-09 18:11:38.395 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-08-09 18:11:38.467 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Starting ContactsApplication using Java 20.0.2 with PID 3376 (C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts\target\classes started by sainath.a in C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts)
2023-08-09 18:11:38.468 [restartedMain] DEBUG c.e.Contacts.ContactsApplication - Running with Spring Boot v3.0.5, Spring v6.0.7
2023-08-09 18:11:38.469 [restartedMain] INFO  c.e.Contacts.ContactsApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-09 18:11:38.543 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-09 18:11:38.543 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-09 18:11:39.833 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-09 18:11:39.993 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 144 ms. Found 3 JPA repository interfaces.
2023-08-09 18:11:41.178 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
2023-08-09 18:11:41.193 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2023-08-09 18:11:41.195 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-09 18:11:41.195 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-08-09 18:11:41.270 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-09 18:11:41.270 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2726 ms
2023-08-09 18:11:41.540 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-09 18:11:41.637 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-08-09 18:11:42.022 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-09 18:11:42.600 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@45d9c582
2023-08-09 18:11:42.606 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-09 18:11:42.740 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-08-09 18:11:44.338 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-09 18:11:44.353 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:11:44.864 [restartedMain] DEBUG c.e.Contacts.filter.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2023-08-09 18:11:45.083 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-09 18:11:45.544 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3810e44d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6380a7c9, org.springframework.security.web.context.SecurityContextHolderFilter@71bbe822, org.springframework.security.web.header.HeaderWriterFilter@489fca01, org.springframework.web.filter.CorsFilter@3bcce377, org.springframework.security.web.authentication.logout.LogoutFilter@6b712b58, com.example.Contacts.filter.JwtAuthFilter@6e2ad4c5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1e85a8c0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@45456fda, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4a25dcd2, org.springframework.security.web.session.SessionManagementFilter@49ee55c2, org.springframework.security.web.access.ExceptionTranslationFilter@7b93b438, org.springframework.security.web.access.intercept.AuthorizationFilter@61774789]
2023-08-09 18:11:45.901 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-09 18:11:45.922 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2023-08-09 18:11:45.953 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
2023-08-09 18:11:45.965 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Started ContactsApplication in 8.028 seconds (process running for 9.116)
2023-08-09 18:11:55.214 [http-nio-8085-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-09 18:11:55.216 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-09 18:11:55.219 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-08-09 18:11:55.830 [http-nio-8085-exec-2] WARN  c.e.C.services.ContactServices - User already exists
2023-08-09 18:32:42.142 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:32:42.149 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
